task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	40/bba649	25549	CCDSFilter (2)	COMPLETED	0	2024-06-12 23:05:59.216	5.7s	2.8s	104.4%	72 MB	84.3 MB	7.4 MB	15.9 KB
4	90/c01330	25553	CCDSFilter (4)	COMPLETED	0	2024-06-12 23:05:59.231	5.8s	2.8s	104.8%	71.8 MB	84 MB	7.4 MB	15.9 KB
8	4d/05048a	25598	CCDSFilter (8)	COMPLETED	0	2024-06-12 23:06:05.019	2.4s	1.3s	104.4%	81.9 MB	97.9 MB	7 MB	15.8 KB
7	7c/9bd5f7	25584	CCDSFilter (7)	COMPLETED	0	2024-06-12 23:06:04.931	2.5s	1.4s	103.0%	81.5 MB	97.7 MB	7 MB	15.8 KB
5	6e/e64c8a	25624	CCDSFilter (5)	COMPLETED	0	2024-06-12 23:06:07.388	2s	1.1s	104.2%	10.8 MB	19.6 MB	7.4 MB	16 KB
6	a5/ff5605	25630	CCDSFilter (6)	COMPLETED	0	2024-06-12 23:06:07.412	2s	1s	102.9%	3.6 MB	7.2 MB	7 MB	15.8 KB
1	07/6b461d	25668	CCDSFilter (1)	COMPLETED	0	2024-06-12 23:06:09.378	2s	1s	103.4%	11.2 MB	19.8 MB	7.4 MB	15.9 KB
3	0e/36d49d	25675	CCDSFilter (3)	COMPLETED	0	2024-06-12 23:06:09.471	2s	988ms	103.4%	11.4 MB	19.9 MB	7.4 MB	15.9 KB
10	a6/2e0fcc	25717	CCDSFilter (10)	COMPLETED	0	2024-06-12 23:06:11.511	1.8s	959ms	104.1%	11.6 MB	20.2 MB	7 MB	15.8 KB
9	02/87f874	25701	CCDSFilter (9)	COMPLETED	0	2024-06-12 23:06:11.393	2s	1.1s	102.6%	10.5 MB	19.4 MB	7 MB	15.9 KB
11	57/004ad6	25736	CCDSFilter (11)	COMPLETED	0	2024-06-12 23:06:13.318	1.9s	1s	104.4%	11 MB	19.9 MB	6.9 MB	16.2 KB
12	50/627e6c	25743	CCDSFilter (12)	COMPLETED	0	2024-06-12 23:06:13.360	2s	998ms	104.3%	11 MB	19.8 MB	6.9 MB	16.4 KB
13	59/017011	25770	CCDSFilter (13)	COMPLETED	0	2024-06-12 23:06:15.221	1.8s	943ms	104.9%	11.4 MB	20.2 MB	6.9 MB	16.4 KB
14	25/39ca11	25783	CCDSFilter (14)	COMPLETED	0	2024-06-12 23:06:15.322	1.8s	941ms	101.9%	3.4 MB	7.2 MB	6.9 MB	16.4 KB
15	db/379a65	25804	CCDSFilter (15)	COMPLETED	0	2024-06-12 23:06:17.083	1.8s	969ms	101.3%	11.4 MB	20 MB	6.9 MB	16.4 KB
18	b1/9fc6d2	25811	CCDSFilter (18)	COMPLETED	0	2024-06-12 23:06:17.128	1.9s	1s	103.6%	3.4 MB	7.2 MB	8.4 MB	15.3 KB
